modelo,segmento,lead_minutes,n,MAE,RMSE,R2,MAPE (%),sMAPE (%),Bias,NSE,modelo_label,familia,source,model_order
Persistencia,2021,10,6331,0.0070818565130111,0.0486568149554476,0.9500429335819008,2.3584461236248,2.429368610146438,-5.6477025372875045e-06,0.9500429335819008,Persistencia,Baseline ingenuo,15_finales,0
Ridge_ARX_local,2021,10,6331,0.0057569994939351,0.031974855375577,0.978426194865596,2.621962561164152,2.6098929441050864,0.001658238563279,0.978426194865596,Ridge-ARX,ML lineal ARX,15_finales,1
GradientBoosting_ARX,2021,10,6331,0.0095535975270899,0.069492482477307,0.8980974090278152,3.1502321622550644,3.157576647017589,-0.0008463790272275,0.8980974090278152,Gradient Boosting-ARX,ML no lineal ARX,23_gradient_boosting_arx,2
ARIMA_selected,2021,10,6331,0.0062350041736666,0.0382578733202871,0.9691147427089531,2.6663048014521618,2.736145299046757,-0.0022706784211876,0.9691147427089531,ARIMA,Estadistico,17_arima_sarimax_baselines,3
SARIMAX_lagged_exog_selected,2021,10,6331,0.006258395591495,0.0356200733782087,0.973226867113334,2.7304024732387058,2.791941324763323,-0.0022705815941209,0.973226867113334,SARIMAX,Estadistico con exogenas,17_arima_sarimax_baselines,4
NBEATS,2021,10,6331,0.0372144574383248,0.0688824271964523,0.899878705120624,33.52772646949339,42.24146790001112,-0.0282203259676551,0.899878705120624,N-BEATS,Deep learning,15_finales,5
LSTM,2021,10,6331,0.0069743926933753,0.0382296774246384,0.969160250549002,2.9884137237705297,2.914412022547221,0.0008922457812863,0.969160250549002,LSTM,Deep learning recurrente,22_lstm_vs_modelos,6
Persistencia,2021,20,6331,0.0130362344173529,0.0884246819766501,0.8350086125399518,3.586426814024261,3.727598168435055,-1.1164411515371018e-05,0.8350086125399518,Persistencia,Baseline ingenuo,15_finales,0
Ridge_ARX_local,2021,20,6331,0.010971054115978,0.0587671622675339,0.9271241384896788,4.267214863235719,4.184331059083951,0.0036382231371901,0.9271241384896788,Ridge-ARX,ML lineal ARX,15_finales,1
GradientBoosting_ARX,2021,20,6331,0.0131195900922219,0.0819252658151387,0.8583717203146747,4.424470791609774,4.422070664982318,-0.0023103467738328,0.8583717203146747,Gradient Boosting-ARX,ML no lineal ARX,23_gradient_boosting_arx,2
ARIMA_selected,2021,20,6331,0.0127649744184807,0.076031537752775,0.8780162977734252,4.354785827097749,4.553986346712377,-0.0053816178050823,0.8780162977734252,ARIMA,Estadistico,17_arima_sarimax_baselines,3
SARIMAX_lagged_exog_selected,2021,20,6331,0.0128704302600764,0.0711475995531045,0.8931843800029738,4.428178514548406,4.620236016645744,-0.0053129216791196,0.8931843800029738,SARIMAX,Estadistico con exogenas,17_arima_sarimax_baselines,4
NBEATS,2021,20,6331,0.028660500183561,0.0653866322279111,0.909782206662939,22.147540214895272,19.61982541049308,0.0213266116909975,0.909782206662939,N-BEATS,Deep learning,15_finales,5
