modelo_label,lead_minutes,n,MAE_m,RMSE_m,MAE_cm,RMSE_cm,MAPE_pct,sMAPE_pct,NSE,Bias_cm
Ridge-ARX,10,10688,0.006717644194015712,0.03838123137831247,0.6717644194015713,3.8381231378312473,1.9181060708343283,1.917222857630875,0.9837483644184033,0.03087447953118832
LSTM,10,10688,0.007392851250850521,0.040295015767884176,0.7392851250850521,4.029501576788418,2.1582089446228854,2.107142952875158,0.9820872639104534,0.10191282207418072
SARIMAX,10,10688,0.007000701960872482,0.04084235887329054,0.7000701960872482,4.084235887329054,1.975780806823577,2.0206928729947196,0.9815973273258538,-0.25039237582547874
ARIMA,10,10688,0.006828225877267523,0.04278434378015038,0.6828225877267523,4.278434378015038,1.9246707824129912,1.9804122531713535,0.9798056900451367,-0.2970189384338294
Persistencia,10,10688,0.007250676794898347,0.051437725797544055,0.7250676794898347,5.143772579754406,1.6320225685054552,1.6877206434847274,0.970810760140639,-0.0008959169607369719
Gradient Boosting-ARX,10,10688,0.011156267300912643,0.06605983187838115,1.1156267300912643,6.605983187838114,2.5435254415236885,2.5673456443279554,0.9518568840547511,-0.5180600186160172
N-BEATS,10,10688,0.036310234426609474,0.06870533837212674,3.6310234426609473,6.870533837212673,22.141325251887423,27.341087962786077,0.9479236864725553,-2.6524766913332587
LSTM,20,10688,0.01125504535817877,0.06020395637869528,1.125504535817877,6.020395637869528,3.433996915386539,3.307080414848192,0.960014381885475,-0.020873747731549645
Ridge-ARX,20,10688,0.01312698807984862,0.06728798037936082,1.312698807984862,6.728798037936082,3.250280731330799,3.207106166907043,0.9500507771208999,0.06119935741509788
N-BEATS,20,10688,0.02960378327620995,0.07402914908975598,2.9603783276209947,7.402914908975598,15.018711071723336,13.43899572327491,0.9395412360295943,2.0961670214209143
SARIMAX,20,10688,0.01350201517867481,0.07457712943566228,1.350201517867481,7.457712943566228,3.2222113380693327,3.3630068825198243,0.938642864687038,-0.5433496118064276
ARIMA,20,10688,0.014044598730501212,0.08022304245730479,1.4044598730501212,8.022304245730478,3.2835782952986947,3.4411633599115503,0.9290010368833359,-0.7184518114269075
Gradient Boosting-ARX,20,10688,0.01595258485754308,0.08197548481839763,1.595258485754308,8.197548481839762,3.5928689787284647,3.6290154447329757,0.9258652654574672,-0.8653102338805927
Persistencia,20,10688,0.013511554173404987,0.09060949894014692,1.3511554173404987,9.06094989401469,2.5639115185652637,2.6738336319030593,0.9094264882424177,-0.0017840745630970912
LSTM,30,10688,0.01605161691599137,0.0774894133564044,1.6051616915991371,7.74894133564044,5.075716799183037,4.921755151333105,0.9337580323824408,-0.35000222024000394
Ridge-ARX,30,10688,0.018887011511613625,0.09206086089669732,1.8887011511613625,9.206086089669732,4.62110985753718,4.511245928300871,0.9065028136531474,0.06590034031168236
N-BEATS,30,10688,0.017606026689600682,0.09389933755914731,1.7606026689600682,9.389933755914731,4.58769394934778,4.4488846441606364,0.9027312052011928,-0.09748016809357804
Gradient Boosting-ARX,30,10688,0.019653039036052596,0.09768342095217529,1.9653039036052595,9.768342095217529,4.470139743235806,4.531591238873691,0.8947334961863361,-1.1481180703128029
SARIMAX,30,10688,0.019715838754500996,0.10462137425538855,1.9715838754500996,10.462137425538854,4.4839049359946035,4.721804867588551,0.8792493940500787,-0.8173663599585101
ARIMA,30,10688,0.02111878073126946,0.1107737395188945,2.1118780731269458,11.07737395188945,4.716271995809652,4.9888604107808865,0.8646300988202462,-1.1682998858491527
Persistencia,30,10688,0.019103193947952384,0.12158382094095344,1.9103193947952384,12.158382094095344,3.488117387538451,3.617801202690619,0.836920243947923,-0.0026827367966139456
